src,data_founded,data_founder,data_hq,data_website
assets/imgs/imgs/1w5ddYZJYfR0sg35idrxw4VPItub9lLtr.png, ,,,https://ecovativedesign.com/
assets/imgs/imgs/1MlpPTCRdCLWI4ahlKQWC7TL2ebZnDyNb.png, ,,"Bolingbrook, United States",http://www.mycocycle.com
assets/imgs/imgs/1E8mKB7AZf7Zlfy-qxfb1sutdSdE-6QwD.png, ,,,https://fungi.com/
assets/imgs/imgs/1LvdwwYVno_tCzl-riOopTgz67CwZzTZA.png, ,,,https://www.facebook.com/FLmycology/
assets/imgs/imgs/1XWOV2yhjRC9OSgE4hMnLGXZoSBHTY6S5.png, ,,,https://wildearth.com/
assets/imgs/imgs/11eOKt-mbjenSEeqEoyRitt_1jTa56s9E.png,2015,Maurizio Montalti,"Inarzo, Italy",https://www.mogu.bio/
assets/imgs/imgs/1VFPU-bw1mT64I1LB33mTTih5NbQjiwQn.png,2016,Ehab Sayed,"London, UK",http://www.biohm.co.uk
assets/imgs/imgs/1yvU6UwAhWhQ1WOn1LMfILGMg9_MALguQ.png, ,,,https://www.krown-design.com/
assets/imgs/imgs/1wO1mC1Df2U9ekEiFQ8T2Fv1aDeqC1m9P.png,2011,Danielle Trofe,"Brooklyn, USA",https://danielletrofe.com/
assets/imgs/imgs/1nZ_QLhvsydbYEndQh-q5A4U4QH2YDerF.png,2019,"Adam Davies, Adam Humphrey and Daniel Davies","Cardiff, Wales",https://www.tysyml.co.uk/
assets/imgs/imgs/19myh7TuutWlXjZRFYnBvJNNchLwxRJZm.png,2016,Jan Berbee,"Hilversum, Netherlands",http://www.grown.bio
assets/imgs/imgs/1tm_EP5p5a8eeW0ga24fIg6PzRBTRGrn2.png, ,,,https://danielletrofe.com/
assets/imgs/imgs/1w5ddYZJYfR0sg35idrxw4VPItub9lLtr.png, ,,,https://ecovativedesign.com/
assets/imgs/imgs/16vnlt9j5GJ7UWMFFyPCr3oKbQ4gfsAiA.png,1995,"Mike Amaranthus, Eileen Amaranthus","Grants Pass, USA",https://mycorrhizae.com
assets/imgs/imgs/1l9RhGtXYPlCdWhf2-1HhsAwYWcsSjAgC.png,1993,"Neil Anderson, Maria Anderson","Gilroy, USA",https://www.reforest.com/
assets/imgs/imgs/1dA-C3ixfai4Mo3nnquSPTMBDgrm-kv_H.png,2008,Reforestation Technologies International,"Gilroy, USA",https://www.xtreme-gardening.com/
assets/imgs/imgs/1Fh2WEhcD_GaqaeqAi9Jk3N8AwmhzI1pv.png,2014,,"Fort Collins, USA",https://www.realgrowers.com/
assets/imgs/imgs_fixed/KETlogo.png,,,,
