DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1995,1450.47,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1996,1386.25,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1997,1431.91,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1998,1896.21,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1999,2175.47101112714,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2000,2317.93378623677,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2001,2734.35273436636,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2002,3053.40078416828,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2003,4023.11017412829,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2004,4219.531541,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2005,4798.209607,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2006,5280.150452,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2007,5457.693794,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2008,5107.758979,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2009,5488.275235,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2010,5914.48120080958,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2011,5685.72961977,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2012,6165.08897573,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2013,5857.17,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2014,6717.94,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2015,7466.31342561734,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
